2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
5.47,5.84,6.97,8.18,0.83,1.13,-1.64,-7.1,-4.56,-8.97,-10.93,-13.9,-0.17,1.54,3.19,16.48,-0.07,2.28,0.03,-9.91,-0.52,-4.91,-4.18,-2.91,1.59,3.52,4.12,2.62,-0.42,-5.99
13.72,5.39,9.97,-2.38,-15.81,-12.46,-6.87,-4.66,1.64,-2.7,-6.29,-5.22,0.17,0.73,1.37,-0.06,4.93,5.24,3.99,4.72,-4.6,-1.85,-2.31,-1.87,-0.73,-3.66,-2.25,-3.73,0.26,1.48
0.91,-0.8,1.57,-1.8,-2.85,-6.3,-5.78,-1.51,2.2,5.29,4.6304,0.52,0.09,0.71,0.5996,-0.03,-0.12,0.11,0.14,0.17,-0.04,-8.63,-24.39,-37.58,0.11,7.98,21.64,39.65,0.6,-0.46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,23.61,38.92,51.72,-2.67,-20.17,-34.5,-52.89,-1.02,0.3,11.83,21.1,0.23,-3.74
-2.51,4.69,4.34,-6.1,-0.43,-9.77,-13.65,-15.73,2.74,2.5,4.01,12.72,-2.07,0.05,4.85,6.91,1.36,4.11,1.32,-3.35,0.61,-1.04,29.01,31.17,5.93,15.08,-8.93,-12.68,-0.19,-0.23
-3.61,-5.18,-7.2,5.71,1.02,7.21,13.22,-0.61,2.18,8.17,3.16,6.89,0.52,-10.13,-3.71,-3.52,-0.75,-1.85,-9.07,-3.14,-0.35,3.02,2.75,-5.08,0.33,-2.18,-2.14,13.52,-0.31,1.63
4.67,4.93,6.41,1.92,-3.44,-3.25,-3.07,0.24,0.46,-1.13,-1.09,-2.66,-1.62,-1.59,-1.96,-3.51,0.18,-0.17,0.07,5.12,-0.07,4.39,6.5,-5.04,-0.03,-2.61,-5.42,3.99,-0.02,-2.31
2.06,1.91,6.73,3.05,-1.03,-2.32,-2.22,-4.45,0.09,-0.9,-2.73,-3.56,-0.3,0.56,1.96,3.19,-3.23,-2.36,-0.95,-1.91,3.45,2.94,0,0.01,1.82,1.31,2.88,0.5,-0.66,-4.07
4.49,3.13,15.88,4.62,-0.71,-2.49,-4.15,-4.51,-0.56,-1.54,-1.37,-2.04,0.25,1.56,1.4,0.107,-0.85,-1.95,-2.64,-2.899,-0.16,-0.093,0.74,1.98,0.23,0.123,-0.45,-0.701,0.21,-5.88
-3.72,-0.448,3.24,-3.86,4.4,1.25,-3.15,-1.37,-3.47,-3.24,-3.6,-1.33,-0.43,5.74,7.36,2.81,2.41,-1.92,0.65,0.47,0.31,2.07,2.78,2.33,0.39,-0.91,-5.14,-4.59,2.79,2.85
-0.71,-1.04,0.53,-1.71,0.92,-0.35,-1.47,-0.85,-1.47,-5.28,-3.29,2.73,3.69,7,14.65,-0.28,-0.71,0.76,-8.16,1.86,-1.57,-1.28,1.35,0.6827,0.56,0.5336,-0.64,-3.1287,-0.21,-2.0236
2.79,1.81,9.52,2.26,0.07,0.99,0.96,-0.5,-0.42,-2.12,-3.91,-3.87,-0.06,0.05,0.51,0.51,0.46,0.9,0.99,-0.07,-0.14,-1.22,-1.74,-1.38,-1.52,-1.78,-1.33,-2.5,0.71,-2.58
3.24,-2.3,10.01,-5.87,-1.22,-1.64,-3.06,-2.55,-0.47,-1.13,-0.95,-1.47,-0.04,0.33,1.48,2.24,0.98,2.0616,2.2,3.17,-0.45,-0.5416,-1.15,-2.72,-1.1,-1.79,-2.42,-3.17,-0.42,-3.85
7.48,-0.19,20.31,1.18,0.48,0.78,0.85,0.35,0.67,1.8,2.57,2.99,-0.86,-2.54,-3.34,-4.51,-0.56,-3.42,-6.9,-9.59,-3.16,-2.54,-2.03,-1.47,-0.47,1.68,1.1,0.12,-0.41,-9.53
0.44,4.453,6.09,4.46,1.16,-0.69,-0.2,0.73,-0.17,-1.81,-1.83,-0.1,-1.22,-1.8,-3.05,6.3,0.97,1.06,2,1.76,-0.03,6.42,7.57,-1.6,0.18,-2.65,-0.91,-0.68,-0.03,-5.62
0,0,0,0,0,0,0,-105.87,-50,-111.61,0,105.87,54.14,119.97,11.76,15.41,-0.19,-0.07,0.33,0.14,-0.25,-1.81,-3.93,-4.36,-0.41,1.1,2.47,2.54,0.89,-7.58
0.62,1.43,2.41,-1.61,0.54,1.07,0.34,0.34,0,-1.05,-1.94,1.97,0.1,0.92,1.55,-0.71,-0.01,0.26,0.52,0.2,-0.06,0.72,6.03,1.32,1.95,-0.53,-7.58,-0.39,-0.74,-2.72
1.11,-0.62,3.58,-1.58,0.13,0.47,-1.16,-0.29,-2.63,-3.57,-3.93,18.35,2.57,3.66,3.73,-20.96,-1.77,-3.3,-3.61,1.53,0.64,0.74,1.76,1.51,1.19,3.14,3.68,0.34,-0.53,-2.74
0,0,1104.9,134.04,8.04,14.05,-1087.23,-111.71,-9.1,-17.05,-20.29,-17.73,-0.44,8.5,8.98,12.56,1.2,33.62,34.64,27.77,13.28,-27.72,-26.18,-32.82,-13.63,3.21,2.05,6.93,3.82,-14.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87.57,-13.44,6.57,10.56,103.23,15.61,-2.54,-3.37,-2.52,-0.24,-0.21,-0.14,-2.32,-0.83,-3.82
2.05,-12.11,3.09,-6.78,-0.57,0.4,0.87,-10.63,0.56,-0.73,-1.49,-0.74,-1.98,-2.2,0.99,1.01,-0.02,-0.05,-3.41,-2.52,-0.5,-0.91,-0.16,1.66,4.92,19.98,20.99,46.18,15.72,-19.14
-3.86,-18.15,-8.84,-10.48,0.7,9.82,0.22,7.39,-0.83,-1.21,-3.45,-13.38,-0.25,-0.56,-1.5,15.75,0.87,1.97,7.84,-26.39,-3.93,-3.6,-0.17,-43.56,-0.59,-0.88,-4.72,167.92,6.39,8.12
4.52,14.76,9.16,0.43,-7.07,-16.86,-7.43,-17.98,1.02,3.06,-0.65,-0.02,1.67,0.69,-2.54,-0.32,-0.58,-3.4,-5.84,-37.83,0.42,5.55,9.49,42.07,3.09,4.92,1.66,1.55,-1.23,-4.91
2.46,0.17,15.53,13,5.56,9.82,3.64,1,-6.02,-11.26,-10.79,-11,-0.88,-2.15,-3.48,1,-0.5,2.11,2.73,0.63,1.58,1.7,-0.37,-3.63,-0.76,-8.23,-8.28,-6,0.32,1.64
1.1,6.7,5.93,3.29,10.27,9.24,8.06,4.09,-6.08,-0.64,-1.6,2.97,-2.47,-6.29,-5.13,-9.46,-2.55,-5.12,-6.13,-4.28,0.24,0.98,1.32,0.67,1.72,4.25,0.44,-1.94,-1.9,-5.86
1.77,-3.8021,0.74,2.23,4.35,3.1521,-0.81,-3.24,1.8,1.79,5.44,1.14,-2.44,-1.56,-5.47,-0.44,1.75,1.58,1.23,-4.13,5.84,3.13,2.28,1.98,-12.28,-11.55,-10.41,-7.04,-0.35,-0.47
0.31,-0.54,3.84,10.88,-0.65,2.01,-0.51,8.64,0.09,-2.01,3.91,-8.17,-1.12,-1.24,-6.38,-0.01,2.84,0.29,-3.01,-0.48,-3.43,-2.45,-2.84,-3.66,-2.08,3.35,4.32,-6.88,2.15,-0.09
2.28,-0.25,5.3,-4.14,-1.23,-2.65,-2.18,-1.14,-0.43,-3.75,-7.64,-9.66,-0.93,1.13,4.9,8.37,-0.17,-0.71,-2.06,-7.37,0.68,1.3,1.96,5.45,-0.67,-1.75,-2.72,-4.49,0.6,1.4
1.2,-0.47,2.25,-3.28,-1.66,-1.47,-0.23,1.7,0.25,0.81,0.88,6.22,1.15,2.03,1.54,3.84,-0.13,-0.6,-1.15,1.13,1.93,4.75,8.81,6.53,-1.4,-1.03,-1.01,-2.8,1.01,-5.53
0,0,0,0,0,0,0,413.75,0.93,7.58,8.42,-406.78,-0.6,0.72,0.41,-9.18,0.47,-7.96,-6,26.97,0.35,24.12,25.36,8.29,-0.1,-22.45,-24.1,-32.22,-3.61,-2.01
8.08,29,30.33,67.88,2.25,-0.56,-5.01,4.14,0.53,-2.81,-2.55,-5.32,0.31,3.56,5.66,5.53,-2.29,-2.96,-4.03,-8.57,-1.22,-0.63,-2.92,-9.3,-3.57,-7.06,-7.88,-3.15,1.71,-7.58
0.47,11.42,5.86,22.44,0.17,-0.85,-1.89,2.02,-1.19,-2.17,0.47,-3.94,0.66,0.75,3.99,6,1.87,3.87,-0.95,4.05,-0.41,-2.31,-3.38,-7.48,-0.89,-1.15,-1.28,-2.4,0.94,-1.98
1.82,0.03,5.76,-0.67,-0.17,-0.82,-0.64,-0.48,-0.8,-3.29,-3.42,-3.98,0.17,2.37,3.38,5.31,-0.04,-0.05,-0.03,0.53,0.27,0.58,0.61,0.28,0.42,-0.08,2.24,30.41,1.16,5.38
-4.87,-15.03,-38.91,-124.5,-12,-23.22,-28.43,121.39,16.87,33.34,67.34,0,0,0,214.88,103.57,0,-4.34,-222.24,-119.76,0,4.76,8.31,17.24,0.41,0.59,0.53,1.19,0.6,-1.01
1.53,14.6,3.46,33.15,-0.45,-0.2,-0.95,0.54,0.35,0.31,1.34,-2.29,0.27,0.55,0.74,0.56,0.1,-0.29,-0.93,-0.64,-0.17,-0.42,1.72,1.39,-0.44,-0.73,-2.53,1.92,0.31,-1.82
1.48,-0.29,0,2.93,4.95,3.65,7.78,5.9,-4.16,-7.9,-15.57,-11.76,-3.4,-3.51,0.37,-2.27,-3.39,-6.67,-7.91,-22.9,2.07,13.83,14.8,28.39,7.52,7.11,12.97,15.01,-0.95,-9.73
3.47,4.43,9.2,5.35,-1.09,-0.02,4.53,2.31,-0.69,-3.52,-8.11,-10.94,-0.13,-1.74,-2.63,-0.81,-0.35,0.49,3.68,0.77,-0.31,-0.3,-5.23,-5.08,-1.62,-1.72,0.77,1.49,3.53,-0.59
1.19,5.45,10.75,6.3,-0.64,-5.1726,-4.14,-2.74,0.79,-2.1574,-3.17,-5.03,-1.09,-2.03,-2.17,0.85,-0.48,-0.17,-0.04,-0.62,0.12,0.28,-0.28,-1.31,0.2,-0.23,3.43,1.41,0.01,-0.68
1.79,6.13,8.86,-2.54,-0.81,-1.47,-6.61,-7.91,-0.86,0,3.01,14.3,0.01,3.13,1.49,6.53,6.54,12.05,14.17,-1.11,-4.47,-10.08,-11.61,-8.22,-0.58,-3.28,-2.06,-3.1,0.33,-3.53
0.59,-0.99,6.64,-0.51,-0.04,-1.12,-2.03,-6.58,0.07,-2.29,-11.89,-21.17,0.33,0.43,9.84,18.6,1.76,3.43,5.26,4.93,0.49,1.4,2.23,1.18,-0.02,-0.43,-0.8,-20.68,1.32,2.47
-3.55,-7.41,3.05,-3.83,4.55,12.5,2.92,4.86,-1.01,-6.06,-0.82,5.67,-1.37,-1.13,1.52,1.48,3.91,0.76,9.46,-0.58,-0.28,0.39,-8.55,-6.48,-0.63,0.17,0.32,2.38,0.55,-5.51
3.84,-2.365,0,-18.98,-2.49,-2.89,2.58,-5.39,-1.23,-2.35,-2.22,-11.06,0.02,0.05,-0.84,9.066,-3.61,-3.454,-0.29,1.137,0.01,-0.887,-4.62,-3.573,2.71,3.912,6.42,2.642,3.2,0.279
-7.51,52.63,-27.88,209.3,2.39,5.93,12.4,-31.52,8.15,8.96,10.43,17.92,-6.9,-6.97,-7.44,-18.74,-2.41,-7.84,-12.54,-59.15,3.77,11.5,21.03,77.73,0.37,0.34,-1.21,0.38,-0.24,3.91
3.11,4.22,14.8,8.63,-1.15,-4.2,-3.88,-4.13,-0.19,-1.73,-1.4,-0.23,0.64,2.5,4.18,-1.19,0.34,-0.99,-2.47,-1.76,-0.93,-2.83,-2.68,-3.05,-0.25,-0.81,-1.17,1.49,0.14,-4.1
1.08,0.41,4.43,2.4943,-0.06,-1.5,-1.09,-3.8584,0.36,1.29,1.48,1.0258,1.32,1.36,0.65,0.51,-1.8,-1.77,-1.1,-0.92,0.35,0.97,0.47,2.71,0.97,1.43,2.88,3.87,0.27,-4.93
2.89,2.41,6.22,5.22,0.29,0.37,0.42,-0.21,-0.17,0.71,0.68,0.38,-0.08,-1.77,-2.65,1.61,-1.19,-1.04,-0.92,-7.28,0.16,0.27,17.26,26.61,0.26,0.89,-14.58,-16.29,-0.46,-4.57
2.29,-0.57,7.66,-1.93,0.83,0.46,-0.29,-0.23,-1.4,-1.43,-1.41,-0.52,0,0.05,0.29,-0.64,0.61,0.66,0.8,0.53,-0.89,-1.61,-0.02,-0.72,-0.09,-0.17,-2.24,-2.02,-0.01,-2.84
3.52,0.86,9.52,1.25,-0.59,-0.94,-0.94,-2.76,-0.28,-1.87,-2.22,-2.05,-0.46,0.26,-0.09,-1.53,-1.38,-2.69,-3.83,-3.21,0.34,0.98,1.35,2.21,0.15,-0.04,0.16,-0.27,0.04,-2.55
-0.33,-0.79,4.54,1.05,3.06,2.97,0.25,1.74,0.44,1.14,1.71,2.64,-0.77,-1.85,-2.44,2.88,-2.06,-1.83,-0.08,1.11,0.92,4.74,2.65,-1.95,-0.53,-2.83,-2.97,-2.65,3.21,-2.92
-1.05,-1.942,3.44,-1.89,0.77,0.708,-1.6,0.18,-0.26,-0.94,-0.65,-4.18,0.18,-0.27,-0.2,2.56,1.28,2.224,3.02,-1.41,6.25,5.87,6.71,5.36,-6.77,-5.54,-5.58,6.06,1.23,-4.04
2.39,-0.65,6.28,0.26,-0.23,0.05,0.12,0.46,-0.03,-0.09,0.2,-0.33,-0.27,0.12,0.14,1.19,-0.53,-0.66,0,-1.16,-0.01,-0.37,-1.49,-1.99,-0.67,-1.54,-2.54,-3.09,-0.16,-1.49
1.21,0.5,3.04,-4.26,0.93,2.2,4.7,3.56,-1.8,-2.65,-3.44,-2.75,2.18,2.62,5.64,9.2,2.55,3.93,3.53,2.37,-1.38,-2.3,-4.81,-7.81,-2.63,-4.27,-2.45,-3.23,0.85,2.04
0.15,-4.28,0.86,-13.3,0.02,-0.4,-0.36,-0.37,-0.09,0.12,-0.15,-0.66,0.02,1.12,1.43,11.91,-0.75,-0.69,-1.68,-8.56,0.87,-0.76,-0.04,-0.38,36.52,35.96,36.78,33.05,-34.82,-36.03
0.84,-0.54,1.5,-2.34,1.12,0.04,-0.83,-2.17,-0.52,-0.33,1.38,6.26,0.54,3.21,4.8,4.96,0.65,4.59,6.19,1.58,-0.26,-1.5,-4.8,1.9,0,-1.62,-0.68,-3.34,-0.18,-5.58
0.73,1.91,5.18,2.53,-0.04,-1.35,-3.05,-4.63,-0.33,-0.35,0.1,1.24,0.01,-0.13,0.22,0.28,0.03,0.49,0.84,0.85,0.14,-0.19,-0.43,-0.89,0.03,0.66,0.9,1.12,0.24,-2.31
0,-4.75,-4.88,-17.26,0,-3.04,-5.32,-1.61,-8.9,-7.4,-4.35,15,2.53,-1.3,-10.08,-61.31,-11.33,-26.36,-45.43,60.47,17.7,38.71,65.18,0,0,0,0,-87.19,0.89,0
0,0,0,0,0,0,0,0,0,0,15.69,22.67,7.3,13.89,4.3,2.22,-2.71,-5.09,-7.51,-5.75,1.21,-3.22,-5.77,-11.3,-4.22,-2.44,-1.86,-1.51,-0.11,-3.14
7.67,-1.202,23.57,-4.7106,-0.81,-3.25,-4.5,-8.25,-1.13,-0.21,-1.18,-6.09,-4.34,-7.83,-8.97,-9.86,-0.44,-4.74,-6.52,-7.78,-1.91,-2.92,-3.68,-1.22,-0.71,-1.35,-0.77,-2.65,1.9,2.13
0.01,-3.22,1.07,-0.97,0.53,0.43,-0.23,0.07,-1.35,-2.43,-2.92,-1.9,0.07,0.22,0.11,0.23,-0.15,-0.6,-0.6,0.27,-0.77,0.99,0.65,4.85,1.16,0.71,0.84,0.43,0.28,0.34
0.86,-1.31,7.14,30.87,0.15,-0.89,1.15,-27.13,0.34,-1.62,-7.31,-12.72,-0.13,-0.59,1.96,-3.15,-0.55,-1.25,0.15,4.36,-1.19,1.98,-5.04,-3.49,-0.62,-3.04,2.48,-0.98,0.24,0.72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,6.23,17.38,19.96,10.21,-4.14,-13.19,-12.34,-16.82,-0.25,-0.41
2.78,0.52,3.87,-0.68,-2.21,-0.68,-0.14,1.38,0.62,0.83,1.65,1.6,0.83,1.34,4.73,5.63,-0.52,-1.19,-4.95,-4.68,-0.34,-0.54,-0.87,-2,-0.02,-0.1,0.17,-1,-1.03,1.35
0,0,0,37.81,0,0,0,-8.69,0,13.69,0,-5.2,0,3.26,22.54,0.95,7.47,2.02,2.81,4.62,0.64,0.65,0.11,-0.43,-0.53,-1.98,-1.7,-2.18,-0.71,-17.64
12.88,10.08,34.16,10.05,-3.36,-6.71,-11.59,-17.81,-5.14,-9.52,-12.53,-14.48,-1.16,0.1,0.34,0.96,0.51,4.58,4.74,3.1,-1.86,-9.64,-11.85,-12.35,-0.48,0.28,1.51,3.32,2.26,-3.28
0.44,0.35,3.86,0.35,0,0.01,0.01,0.06,0.09,1.18,1.52,6.08,1.88,2.1,4.39,4.76,-0.22,0.14,3.69,5.61,-2,-5.11,-10.59,-10.84,0.38,0.41,0.94,1.07,0.13,-1.73
0.45,2.76,15.16,3.48,-0.59,1.06,1,-2.27,-1.95,-7.88,-14.08,-15.1,-1.42,-2.41,-0.58,1.36,-0.14,-0.05,-1.33,-2.63,-1.57,3.15,-5.44,-15.97,-3.11,-11.33,0.67,16.2,4.16,9.67
0.61,-1.86,4.18,1.88,3.31,4.08,6.04,0.54,0.78,-1.4,-2.89,0.45,-2.76,-2.15,-0.78,1.82,-0.75,-2.09,-3.93,-1.18,2.05,1.86,1.56,-3.58,-0.23,-0.56,-1.03,1.57,-1.09,-2.96
121.04,-66.05,0,-72.76,-113.64,8.21,0,-1.05,-1.42,3.39,15.47,-7.74,1.73,9.32,10.32,11.26,18.02,7.94,3.35,7.38,-22.77,-17.84,-15.39,-17.08,0.27,-1.41,-2.7,-6.58,0.27,-9.61
-0.1,-5.85,6.71,-14.4,-0.88,-1.18,-3.27,2.01,1.87,4.8,9.47,10.89,1.63,-1.38,-4.89,-7.1,0.3,0.86,0.04,1.67,-0.96,-1.27,0.46,-0.73,0.36,-0.27,-0.69,0.61,-0.09,-0.51
0.48,-0.35,0,-0.33,-0.06,-0.6,0,-21.62,-0.19,-0.72,-2.07,-12.64,0.14,0.15,10.75,13.91,0.56,0.87,-5.39,1.13,-0.47,-0.23,-2.11,-1.38,2.47,-0.05,-0.27,-15.79,-1.79,-0.92
-6.85,5.6563,7.68,125.22,8.21,17.896,-0.93,-41.65,-0.71,-0.1405,-2.24,-1.68,0.09,-1.8438,-2.21,7.1,-0.53,-0.77,-24.84,-43.64,0.2,-5.11,17.62,-22.38,-0.03,67.28,8.33,77.78,0.1,-64.14
-2.89,0.51,-8.79,15.32,1.53,4.22,11.94,29.07,1.98,2.13,-3.07,-5.86,0.99,5.1,7.88,4.13,0.06,-2.84,-6.53,-15.66,-4.22,-7.18,0.12,11.99,3.04,4.96,-1.37,-27.75,-3.64,-0.27
2.46,14.2,12.28,7.9968,0.35,-4.28,-4.26,-3.1268,-1.16,-2.68,-6.67,-5.44,-0.82,-2.92,-0.84,-0.65,-0.49,-0.12,0.12,0.1002,-5.65,-10.72,-19.67,-27.6902,-0.92,-13.78,-29.04,-76.6,-44.65,24.14
4.47,1.22,15.11,1.13,0.92,45.33,43.7,38.31,-1.64,-48.78,-47.34,-44.49,2.04,2.47,0.93,-0.85,-3.11,-4.08,-3.21,-3.29,0.04,-0.32,-0.47,-0.66,-0.03,0.2,-0.24,1.4,0.07,-5.8
-2.95,-3.25,-6.59,14.44,0.16,1.23,5.63,4.54,10.66,20.49,36.13,41.09,6.76,-10.85,-28.57,-36.89,-11.12,1.35,3.28,4.7,-0.28,-0.13,1.98,0.86,-0.83,-2.85,-6.63,-7.68,-0.65,-0.95
-2.75,0.61,-4.44,30.21,-0.42,7.73,8.22,4.14,3.89,0.18,1.3411,0.37,0.8,1.22,0.3789,2.27,1.51,1.88,2.77,2.69,-0.54,0.41,1.07,1.63,-1.7,-3.6,-4.24,-4.49,0.49,-2.64
0.42,-9.44,0.8,-7.71,1.22,2.75,1.03,2.33,-1.86,-3.32,-3.79,3.18,2.49,0,5.58,-6.96,-2.93,1.11,-0.67,9.52,2.03,2.24,-4.97,-7.73,-2.66,-3.09,3.16,-0.43,1.99,2.04
6,1.97,17.3,4.8,10.41,10.63,6.05,2.53,-10.26,-11.08,-9.72,-11.17,-0.59,-1.22,-1,-0.99,-0.92,-1.52,-3.39,-3.76,-1.35,-1.95,-2.68,-3.74,-0.48,0.06,0.11,0.254,0.28,-5.31
4.13,4.57,13.15,5.15,0.2,0.09,-0.23,-4.1,-0.94,-2.68,-4.26,-4.4,-0.42,-0.27,-0.1,1.29,1.31,1.96,3.97,5.85,1.05,1.5,2.42,2.59,0.67,1.54,1.86,1.82,0.44,0.87
3.18,2.43,8.61,5.69,0.67,-0.06,-0.94,3.3,-1.68,-1.53,-0.91,-7.05,-0.08,0.33,-0.04,-0.57,-0.11,-1.04,-1.88,-0.94,-0.01,0.25,0.15,-2.29,-0.16,-0.37,-0.58,-0.17,-0.1,-3.98
-2.44,4.0043,-9.99,-11.1089,4.45,6.2947,-10.38,-35.2292,-5.43,-7.5846,8.9984,46.4002,-5.35,-17.9144,-30.0184,-126.4305,79.17,89.17,97.74,136.14,-74.48,-64.1828,-55.5,-10.2,4.34,-0.0672,0.31,0.09,0.98,1.61
-5.2,-2.89,1.54,-0.2,3.1,2.06,1.72,2.84,5.38,3.31,6.55,0.06,-1.35,-5.51,-4.32,-3.8,1.68,7.78,6.07,8.47,0.45,-6.76,-5.61,-5.46,-1.29,0.48,-0.4,-2.04,-0.83,-2.29
7.57,8.64,17.4,12.08,-2.43,1.08,6.52,1.63,-1.56,-6.46,-12.48,-9.92,-1.89,-5.39,-7.68,-14.22,-0.92,-2.76,-3.46,-0.59,-0.6,-0.12,0.25,0.07,0.03,-0.18,-0.29,-20.64,0.44,-0.23
6.53,1.28,16.11,1.24,2.81,3.17,3.99,5.11,-0.06,-2.38,-0.08,-0.65,-0.65,-0.77,-0.67,-1.022,-0.44,-0.32,-1.75,-0.988,0.32,0.56,0.57,-0.03,-1.04,-1.08,-1.51,-0.68,-0.49,-11.16
10.92,26.23,0,9.66,-2.92,-10.49,21.11,-26.73,-3.22,-6.81,-8.78,-9.15,-2.21,-5.22,-6.42,-6.95,-0.47,-0.87,-1.49,-6.25,-4.08,-3.85,-4.36,-1.86,2.03,0.58,0.74,0.77,0.93,-0.62
-0.68,-11.53,-4.11,-10.88,0.09,0.52,0.12,19.63,1.33,7.77,11.78,-7.21,-0.1,-2.6,-3.57,-3.94,3.54,1.55,1.93,1.77,-3.9,-4.09,-5.35,-6.71,-0.42,0.13,2.72,4.02,2.03,-0.86
1.37,0.17,0,-0.54,0.03,-3.05,5.17,-2.08,-0.22,-0.49,0.47,-1.56,0.27,1.43,3.88,0.88,-3.78,-6.45,-10.04,-13.64,-0.89,5.38,1.69,6.96,1.4,-5.68,-5.11,-9.76,-0.43,2.78
3.56,0.31,7.88,0.66,-2.03,-3.08,-2.57,-4.98,-0.09,0.42,0.05,-0.98,-0.92,-2.42,-3.09,-1.19,1.69,2.8,4.62,3.89,-0.43,0.34,0.94,2.32,0.66,3.9,4.09,4.96,0.95,-8.39
0,0,0,0,0,10.05,30.84,38.06,-2.67,0.86,-4.78,-7.56,-1.77,-8.16,-14.59,-17.73,2.74,1.72,2.42,0.28,0.78,4.96,9.49,7.81,1.24,-3.82,-8.68,-11.26,1.25,-5.61
1.82,3.29,6.39,2.17,-0.1,-1.06,-1.86,-4.3,-1.61,-2.81,-3.54,-2.87,0.41,1.7,2.82,3.48,0.06,-0.68,-1.36,-1.49,0.11,0.25,1.31,3.11,1.79,3.92,5.04,2.86,1.19,-5.89
0,-1.21,0,6.28,-3.96,-7.22,-15.43,-1.63,-6.73,-69.54,-133.13,7.79,12.15,83.26,157.79,-0.3,-0.42,-1.37,0,0.52,0.2,0.47,-1.78,0.61,-1.4,-0.12,0.4,-0.06,0.9,2.95
6.96,1.41,13.93,1.65,0.47,0.58,0.93,-1.11,-0.64,-0.91,-1.04,0.33,-0.38,-0.7,-0.67,-0.54,0.78,1.5,2.3,2.99,-0.09,-0.25,-0.69,0.28,-1.11,-1.12,-0.96,-2.21,-1.4,-10.62
